--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                                                                                     DescribeInstancePatches                                                                                    |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
||                                                                                            Patches                                                                                           ||
|+----------------+----------------+---------------------------------------------------------+------------+-----------------+-------------------------------------------------------------------+|
|| Classification | InstalledTime  |                          KBId                           | Severity   |      State      |                               Title                               ||
||  Bugfix        |  1572864810.0  |  clutter-gtk.x86_64                                     |  None      |  Installed      |  clutter-gtk.x86_64:0:1.8.4-1.el7                                 ||
||  Bugfix        |  1572864754.0  |  cogl.x86_64                                            |  None      |  Installed      |  cogl.x86_64:0:1.22.2-2.el7                                       ||
||  Bugfix        |  1572864790.0  |  colord.x86_64                                          |  None      |  Installed      |  colord.x86_64:0:1.3.4-1.el7                                      ||
||  Bugfix        |  1572864770.0  |  colord-gtk.x86_64                                      |  None      |  Installed      |  colord-gtk.x86_64:0:0.1.25-4.el7                                 ||
||  Bugfix        |  1569397946.0  |  colord-libs.x86_64                                     |  None      |  Installed      |  colord-libs.x86_64:0:1.3.4-1.el7                                 ||
||  Bugfix        |  1572864853.0  |  compat-cheese314.x86_64                                |  None      |  Installed      |  compat-cheese314.x86_64:0:3.14.2-1.el7                           ||
||  Bugfix        |  1572864784.0  |  compat-exiv2-026.x86_64                                |  None      |  Installed      |  compat-exiv2-026.x86_64:0:0.26-1.el7                             ||
||  Bugfix        |  1572864840.0  |  control-center.x86_64                                  |  None      |  Installed      |  control-center.x86_64:1:3.28.1-4.el7                             ||
||  Bugfix        |  1572864761.0  |  control-center-filesystem.x86_64                       |  None      |  Installed      |  control-center-filesystem.x86_64:1:3.28.1-4.el7                  ||
||  Bugfix        |  1568028351.0  |  copy-jdk-configs.noarch                                |  None      |  Installed      |  copy-jdk-configs.noarch:0:3.3-10.el7_5                           ||
||  Bugfix        |  1570703370.0  |  coreutils.x86_64                                       |  None      |  Installed      |  coreutils.x86_64:0:8.22-24.el7                                   ||
||  Bugfix        |  1521826908.0  |  cpio.x86_64                                            |  None      |  Installed      |  cpio.x86_64:0:2.11-27.el7                                        ||
||  Bugfix        |  1572864771.0  |  createrepo.noarch                                      |  None      |  Installed      |  createrepo.noarch:0:0.9.9-28.el7                                 ||
||  Bugfix        |  1570703400.0  |  cronie.x86_64                                          |  None      |  Installed      |  cronie.x86_64:0:1.4.11-23.el7                                    ||
||  Bugfix        |  1570703400.0  |  cronie-anacron.x86_64                                  |  None      |  Installed      |  cronie-anacron.x86_64:0:1.4.11-23.el7                            ||
||  Bugfix        |  1568028353.0  |  cups-libs.x86_64                                       |  None      |  Installed      |  cups-libs.x86_64:1:1.6.3-40.el7                                  ||
||  Bugfix        |  1572864780.0  |  cups-pk-helper.x86_64                                  |  None      |  Installed      |  cups-pk-helper.x86_64:0:0.2.6-2.el7                              ||
||  Bugfix        |  1572864779.0  |  cyrus-sasl.x86_64                                      |  None      |  Installed      |  cyrus-sasl.x86_64:0:2.1.26-23.el7                                ||
||  Bugfix        |  1572864819.0  |  cyrus-sasl-gssapi.x86_64                               |  None      |  Installed      |  cyrus-sasl-gssapi.x86_64:0:2.1.26-23.el7                         ||
||  Bugfix        |  1521826938.0  |  cyrus-sasl-lib.x86_64                                  |  None      |  Installed      |  cyrus-sasl-lib.x86_64:0:2.1.26-23.el7                            ||
||  Bugfix        |  1572864817.0  |  cyrus-sasl-md5.x86_64                                  |  None      |  Installed      |  cyrus-sasl-md5.x86_64:0:2.1.26-23.el7                            ||
||  Bugfix        |  1572864809.0  |  cyrus-sasl-plain.x86_64                                |  None      |  Installed      |  cyrus-sasl-plain.x86_64:0:2.1.26-23.el7                          ||
||  Bugfix        |  1572864845.0  |  cyrus-sasl-scram.x86_64                                |  None      |  Installed      |  cyrus-sasl-scram.x86_64:0:2.1.26-23.el7                          ||
||  Bugfix        |  1570703391.0  |  dbus.x86_64                                            |  None      |  Installed      |  dbus.x86_64:1:1.10.24-13.el7_6                                   ||
||  Bugfix        |  1570703389.0  |  dbus-libs.x86_64                                       |  None      |  Installed      |  dbus-libs.x86_64:1:1.10.24-13.el7_6                              ||
||  Bugfix        |  1572864755.0  |  dbus-x11.x86_64                                        |  None      |  Installed      |  dbus-x11.x86_64:1:1.10.24-13.el7_6                               ||
